Time,REAL_DATA,TELE_DATA
2038,223,220
2039,221,218
2040,219,216
2041,223,220
2042,223,220
2043,222,219
2044,223,220
2045,222,218
2046,221,218
2047,223,220
2048,221,218
2049,221,218
2050,222,219
2051,223,220
2052,223,220
2053,221,218
2054,223,220
2055,221,218
2056,223,220
2057,223,220
2058,221,218
2059,221,218
2060,221,218
2061,223,220
2062,221,218
2063,222,218
2064,221,218
2065,221,218
2066,223,220
2067,221,218
2068,219,216
2069,223,220
2070,221,218
2071,221,218
2072,221,218
2073,222,218
2074,222,218
2075,223,220
2076,221,218
2077,221,218
2078,223,220
2079,219,216
2080,222,219
2081,221,218
2082,222,218
2083,221,218
2084,223,220
2085,223,220
2086,222,218
2087,222,218
2088,223,220
2089,221,218
2090,223,220
2091,221,218
2092,221,218
2093,221,218
2094,221,218
2095,223,220
2096,223,220
2097,221,218
2098,221,218
2099,223,220
2100,221,218
2101,223,220
2102,222,219
2103,221,218
2104,223,220
2105,223,220
2106,223,220
2107,221,218
2108,223,220
2109,223,220
2110,223,220
2111,221,218
2112,221,218
2113,223,220
2114,222,218
2115,222,218
2116,222,218
2117,221,218
2118,223,220
2119,221,218
2120,223,220
2121,223,220
2122,223,220
2123,223,220
2124,223,220
2125,223,220
2126,223,220
2127,222,219
2128,222,219
2129,221,218
2130,223,220
